#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.VM.UniversalVirtualMachineImpl
"Name","NumCpu","MemoryGB","ProvisionedGB","HardDiskSizeGB"
"bo3upmdaxapp01","4","10","105.26406249962747097015380859","70"
"bo3upmdaxapp02","4","10","105.52187499962747097015380859","70"
"bo3up3pgxapp01","4","8","725.50140624959021806716918945","537"
"bo3up3pgxapp02","4","8","724.56781249959021806716918945","537"
"bo3up3pgxdbs03","4","8","751.44687499944120645523071289","555"
"bo3up3pgxdbs04","4","8","756.6007812498137354850769043","560"
"bo3up3pgxdbs05","4","8","754.9210937498137354850769043","560"
"bo3upmlexapp01","2","2","79.47218749951571226119995117","56"
"mysql-prod-vm07","2","8","77.953124999068677425384521484","50"
"bos3wppsvcapp01","4","8","211.92187500","150"
"bo3wdpsvcdb02","4","6","182.09765625","125"
"bo3upactapp01","2","8","196.61015624925494194030761719","140"
"bo3upactapp02","2","8","197.59843749925494194030761719","140"
"bo3upactapp03","2","8","196.83671874925494194030761719","140"
"bo3upactapp04","2","8","196.62968749925494194030761719","140"
"bo3upactmdb01","4","12","294.3312499998137354850769043","210"
"bo3upactmdb02","4","12","293.9210937498137354850769043","210"
"bo3upactmdb03","4","12","574.35781249962747097015380859","210"
"bo3upactmdb04","4","12","293.8937499998137354850769043","210"
"bo3upactmdb05","4","12","294.3195312498137354850769043","210"
