#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.VM.UniversalVirtualMachineImpl
"Name","NumCpu","MemoryGB","HardDiskSizeGB","Cluster"
"bo3uspcptapp02","8","16","86","BO3_VXR_Core_NonProd"
"bo3uppcptapp03_restore_2023-02-22","4","8","101","BO3_VXR_Core_Prod"
"bo3uppcptapp01","8","16","86","BO3_VXR_Core_Prod"
"bo3uppcptapp02","8","16","86","BO3_VXR_Core_Prod"
"bo3udcrcsdbs02","4","4","90","BO3_VXR_Core_NonProd"
"bo3upcrcsapp01","4","4","101","BO3_VXR_Core_Prod"
"bo3upcrcsdbs01","4","8","270","BO3_VXR_Core_Prod"
"bo3upcrcsapp02","4","4","101","BO3_VXR_Core_Prod"
"bo3udcrcsapp02","4","4","110","BO3_VXR_Core_NonProd"
"bo3udcrcsapp01","4","4","130","BO3_VXR_Core_NonProd"
"bo3upgldxweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3upgldxweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3upvislweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3uphssmweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3uphssmweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3upmbtpweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3upmbtpweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3upwrapsweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3upwrapsweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3upwrapsweb03","2","4","60","BO3_VXR_Core_Prod"
"bo3uplsngweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3uplsngweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3upmm3dweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3upmm3dweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3upmcudweb02","2","8","60","BO3_VXR_Core_Prod"
"bo3upaxisdb04","4","8","100","BO3_VXR_Core_Prod"
"bo3upaxisdb02","4","8","100","BO3_VXR_Core_Prod"
"bo3upmcudweb01","2","8","100","BO3_VXR_Core_Prod"
"bo3upaxisdb01","4","8","100","BO3_VXR_Core_Prod"
"bo3upaxisdb03","4","8","100","BO3_VXR_Core_Prod"
"bo3uppkmxweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3uppkmxweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3upkitmweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3upkitmweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3wdtopzapp01","4","8","195","BO3_VXR_Core_NonProd"
"bo3upamexweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3upamexweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3uppdtkweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3uppdtkweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3uppkmxweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3uppkmxweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3wpwrdbdbs01","2","4","475","BO3_VXR_Core_Prod"
"bo3wptopzapp01","4","8","195","BO3_VXR_Core_Prod"
"bo3upgldxweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3upgldxweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3upvislweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3upvislweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3uphelpweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3uphelpweb01","2","4","60","BO3_VXR_Core_Prod"
"tfprod03","2","4","42","BO3_VXR_Core_Prod"
"bo3udftdvweb02","2","8","90","BO3_VXR_Core_NonProd"
"bo3uptfprdweb02","2","4","90","BO3_VXR_Core_Prod"
"bo3uptfprdweb01","2","4","90","BO3_VXR_Core_Prod"
"tfprod01","2","4","42","BO3_VXR_Core_Prod"
"bo3wdilabapp01","2","8","75","BO3_VXR_Core_NonProd"
"bo3upuidtweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3upuidtweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3uphssmweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3uphssmweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3wplpeapp004","8","8","160","BO3_VXR_Core_Prod"
"bo3wplpeapp003","8","16","160","BO3_VXR_Core_Prod"
"bo3udlpxyapp01","2","4","130","BO3_VXR_Core_Prod"
"bo3wslpeapp003","8","8","200","BO3_VXR_Core_NonProd"
"bo3udlvxplweb01","2","8","120","BO3_VXR_Core_NonProd"
"bo3wslpeapp004","8","8","210","BO3_VXR_Core_NonProd"
"bo3wslpeapp002","8","8","210","BO3_VXR_Core_NonProd"
"BO3WSLPEDBS001","8","8","60","BO3_VXR_Core_NonProd"
"bo3wslpeapp001","8","16","200","BO3_VXR_Core_NonProd"
"bo3wsilbapp001","8","8","90","BO3_VXR_Core_NonProd"
"bo3wsilbapp002","8","8","100","BO3_VXR_Core_NonProd"
"bo3wplpeapp002","8","16","170","BO3_VXR_Core_Prod"
"BO3WPLPEDBS001","8","16","180","BO3_VXR_Core_Prod"
"bo3uppkmxweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3uppkmxweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3upgldxweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3upgldxweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3upwtwdweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3upwtwdweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3uphssmweb01","2","4","60","BO3_VXR_Core_Prod"
